Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,30-Dec-16,25-Jan-17,PE,6900,0,0,0,1.6,1.4,0,0,0,0,4950,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,6950,0,0,0,0.1,0,0.05,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7000,1.5,1.8,1.2,1.7,1.75,1.7,5675,29800.5,6.75,1417950,15075,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7050,1.5,1.8,1.5,1.8,1.8,1.8,6,31.73,0.01,75075,75,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7100,2.1,2.45,1.95,2.2,2.45,2.2,1598,8511.98,2.63,326550,43200,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7150,0,0,0,0.4,0,0.1,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7200,3.45,3.7,2.95,3.3,3.35,3.3,4429,23927.33,10.73,647025,5775,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7250,0,0,0,0.7,0,0.25,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7300,5.45,5.5,3.95,4.55,4.5,4.55,8661,47447.8,28.82,762900,146700,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7350,0,0,0,1.3,0,0.7,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7400,7.1,7.3,5.55,6.4,6.45,6.4,16352,90827.92,74.32,902475,327525,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7450,8,10,5.1,8,7,8,8,44.75,0.05,600,75,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7500,10.4,11.05,8.2,9.7,9.85,9.7,21679,122094.87,150.5,1992600,268800,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7550,11.8,12,11,11.15,11.05,11.15,149,844.96,1.25,10650,10050,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7600,15.3,16.3,12.1,13.85,13.95,13.85,41000,234112.79,412.79,2155200,69900,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7650,19,19,14.65,17.25,17.55,17.25,274,1575.46,3.38,10350,4500,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7700,23.45,24.15,18.1,20.6,20.85,20.6,37353,216277.02,563.44,2464350,138975,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7750,26.5,26.5,22.2,23.9,25.45,23.9,2187,12750.99,39.05,98325,87750,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7800,34.85,35.9,26.75,30.1,30.05,30.1,60046,352597.27,1328.17,3181050,415575,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7850,41.95,42,32.45,36.2,36.8,36.2,1144,6765.41,30.11,50475,24450,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7900,53.15,53.15,39.35,43.8,43,43.8,79127,471372.89,2545.41,4027275,595800,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,7950,65,65,41.7,51.6,51.35,51.6,1717,10304.11,66.49,91050,1125,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8000,72,76,56,62.65,61.2,62.65,132660,802079.32,6119.32,5762475,1338450,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8050,94,94,68,74.3,73.45,74.3,3093,18846.06,172.08,167850,17550,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8100,103.45,109,80,87.85,86.95,87.85,123998,761469.43,8181.58,3402525,1420500,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8150,125.1,127.7,95.6,104.7,104,104.7,5391,33379.61,427.12,131850,90150,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8200,150.1,151.3,113.05,124.65,124.1,124.65,70221,438457.15,6598,2289375,1173300,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8250,167.15,167.15,137,147.5,148,147.5,482,3036.27,53.89,26175,4350,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8300,208.85,210.9,162.9,176.45,175,176.45,15006,95421.08,2008.73,879600,101625,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8350,210,218,196.6,201.5,201.3,201.5,172,1104.19,27.04,7350,7050,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8400,283.35,283.35,225.75,242.95,241.65,242.95,10312,66849.76,1884.16,1072125,300975,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8450,292,292,292,292,292,292,9,59.01,1.97,750,675,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8500,365.1,368.1,307,324.2,324.4,324.2,3929,26011.42,964.04,1057950,-93975,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8550,0,0,0,153.35,0,364.65,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8600,455,456.75,395.8,413.8,414,413.8,1106,7483.98,350.28,635850,-13575,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8650,0,0,0,193.95,0,448.9,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8700,547.2,552.1,490,507.3,508.55,507.3,563,3890.61,217.04,762750,17175,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8750,0,0,0,240.8,0,538.4,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8800,652.5,654.5,587.5,605.3,607,605.3,1088,7675.97,495.17,1134150,-41475,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8850,0,0,0,691,691,631.7,0,0,0,75,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8900,745.25,747.95,687,704.7,704,704.7,741,5338.73,392.56,801900,-38925,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,8950,0,0,0,353.2,0,727.5,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9000,850.95,850.95,771.8,801.7,801.75,801.7,3646,26800.74,2190.24,2182800,145125,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9050,0,0,0,418.25,0,824.95,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9100,914.35,919.25,887.15,898.75,903,898.75,29,217.64,19.72,176025,225,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9150,0,0,0,488.65,0,923.35,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9200,1009.4,1014.35,984.9,997.75,997.75,997.75,20,152.97,14.97,74025,-600,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9250,0,0,0,564.05,0,1022.35,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9300,1107.6,1107.6,1107.6,1107.6,1107.6,1107.6,3,23.42,2.49,30825,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9350,0,0,0,643.65,0,1121.6,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9400,1220,1220,1195,1199.8,1199.8,1199.8,7,55.67,6.32,33150,225,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9450,0,0,0,727,0,1221,0,0,0,0,0,8185.8
NIFTY,30-Dec-16,25-Jan-17,PE,9500,1345,1345,1281,1299.1,1300,1299.1,160,1296.63,156.63,302925,-6000,8185.8
